"Recharge_mmpa","LTA_P_mmpa","LTA_WD_days","LTA_PET_mm","Aridity","NDVI","Aquifer_group","Soil_group","Landcover_NOAA","Landcover_GlobCover","Landcover","DEM","SM10_m3m3","SM10_kgm2","Lat","Long","ID"
24,201.38000262,42.721665964,1708.1166949,0.11808443895,0.20839222,"Sedimentary","AR",16,140,"grassland",1219,0.181364,11.143961,-24.2,18.5,81
22,512.08667426,70.665331756,1858.8533643,0.27557020314,0.3274903,"Unconsolidated","GL",9,210,"cropland",30,0.19424514,13.364035,14.77,-17.29,82
43,549.68334096,57.225332089,1491.2466847,0.36887957541,0.39467856,"Sedimentary","AR",16,140,"forest",1152,0.2030128,13.661489,-17.47,16.79,83
50.6,378.07667403,62.888665155,1509.550024,0.25056409353,0.26232195,"Sedimentary","CL",16,150,"cropland",1932,0.23271325,18.861717,31.43,-7.8,84
60,605.75001032,93.221997854,1436.7100242,0.42379892888,0.429794,"Unconsolidated","PL",10,30,"shrubland",147,0.2526971,17.865202,-33.52,18.6,85
184,615.9366772,103.17066439,1167.080022,0.53041301463,0.49352905,"Sedimentary","LP",16,50,"forest",450,0.25887224,19.566792,-34.13,18.91,86
3.6,162.99000308,26.024332648,2082.2500341,0.078373011198,0.16434787,"Unconsolidated","GL",16,200,"sparse",269,0.18027665,8.553062,16.75,-3.01,87
19.4,721.25001421,69.751665267,1365.4900249,0.53168373445,0.52756095,"Basement","RG",15,30,"forest",766,0.22695537,16.615229,-23.15,30.3,88
12,571.23667701,83.225331403,1900,0.26,0.39323223,"Unconsolidated","KS",15,210,"cropland",47,0.24187048,18.986446,37.04,11.03,89
7.5,128.21666853,34.059665859,2116.1233648,0.060555629052,0.15946195,"Unconsolidated","AR",12,200,"grassland",53,0.17885132,6.329429,17.54,-14.81,90
0.36,30.670000553,19.231999537,1888.9767025,0.016241427614,0.1005912,"Sedimentary","AR",12,200,"sparse",148,0.17241496,6.262812,31.5,6.77,91
1.05,118.10000189,27.528666068,1683.4466915,0.070133699204,0.07507437,"Unconsolidated","SC",12,200,"sparse",33,0.19057155,11.346056,33.5,8.5,92
149,1129.9233538,93.774998277,1413.0066919,0.80058625646,0.48195928,"Basement","PT",16,130,"cropland",352,0.26867753,20.138144,11.42,-7.47,93
52,988.15668228,147.87666373,1412.8800261,0.70135487757,0.61310387,"Sedimentary","AR",9,50,"cropland",77,0.25099048,20.502163,-6.92,39.17,94
12,407.20000697,51.621998887,1374.700031,0.29710997762,0.38577127,"Sedimentary","CL",8,30,"grassland",1153,0.19653419,14.680085,-22.4,26.72,95
50,717.18001126,69.601665095,1306.8700191,0.55295128425,0.5219473,"Basement","RG",15,30,"shrubland",720,0.22554702,18.861013,-23.59,30.1,96
25,492.1533422,47.645998926,2286.5200357,0.21546439513,0.18420137,"Sedimentary","AR",15,140,"sparse",238,0.2041779,13.5562315,13.6,2.7,97
24,566.36334235,52.375998788,2256.1300327,0.25131208797,0.18420137,"Sedimentary","AR",15,140,"grassland",244,0.2041779,14.315029,13.48,2.66,98
43,675.67334485,53.428998753,2035.3966995,0.33193042722,0.35512182,"Sedimentary","LV",16,20,"cropland",378,0.2231479,16.748375,11.5,13,99
60,968.75001583,109.50833049,1487.9233517,0.65199010237,0.41572976,"Basement","PT",8,20,"cropland",242,0.25996023,17.738697,10.94,-0.95,100
4,404.52667261,53.038332064,1346.4600274,0.30216562309,0.32433254,"Sedimentary","DU",16,30,"cropland",1146,0.20150179,13.967504,-24.12,25.16,101
8.6,404.52667261,53.038332064,1346.4600274,0.30216562309,0.32433254,"Sedimentary","DU",16,30,"grassland",1146,0.20150179,13.967504,-24.03,25.18,102
0.5,326.62000517,47.61199886,1397.2266946,0.23447485845,0.28726652,"Sedimentary","AR",16,140,"grassland",1025,0.19580252,13.098578,-23.17,23.96,103
3.2,341.75000563,50.552998883,1419.7000216,0.24118628422,0.33450037,"Sedimentary","LP",16,140,"urban",972,0.19307132,13.481213,-21.31,25.4,104
6.6,396.30667243,51.997998739,1339.2533608,0.29751232447,0.35898238,"Unconsolidated","AR",16,30,"cropland",978,0.20009662,14.411346,-24.09,26.27,105
45,462.0433418,91.873998006,1288.6066891,0.36014289074,0.5526639,"Sedimentary","LP",16,60,"forest",185,0.22992982,17.615753,-33.71,25.42,106
9.6,454.66000913,59.877665206,1630.3066928,0.28087457674,0.30635002,"Sedimentary","CM",16,140,"forest",1290,0.20756526,14.2723,-26.65,24.89,107
26,256.14000469,71.495998189,1469.4300252,0.17503829102,0.38604423,"Unconsolidated","SN",16,140,"cropland",63,0.21811391,14.543881,-32.95,18.12,108
5,404.22000712,57.688998795,1424.850028,0.28531335468,0.346751,"Basement","LV",16,30,"cropland",1157,0.20692775,15.684635,-23.37,29.32,109
221,773.67668066,75.141998344,1821.9733686,0.42494882226,0.29222882,"Basement","PT",8,14,"sparse",313,0.23349345,16.81649,12.41,-1.53,110
266,1038.8466829,93.342331165,1603.6567007,0.64855229584,0.47442737,"Basement","LV",8,20,"cropland",344,0.27594444,21.381884,10.56,-4.76,111
0.1,68.753334366,16.529332924,2271.4267004,0.03028481109,0.08636849,"Unconsolidated","PT",12,200,"sparse",273,0.16319822,5.0539346,19,-3,112
1,75.170001487,17.793332915,2351.3000398,0.031992683029,0.105082564,"Sedimentary","AR",12,200,"sparse",384,0.16576244,5.296569,18.52,6.48,113
0.2,96.470002136,24.862332772,1826.1633631,0.052904385,0.12057293,"Sedimentary","CL",12,200,"sparse",248,0.19707498,13.391672,31,14,114
1,73.233334655,10.495333106,2070.7467006,0.035419654013,0.12530929,"Sedimentary","VR",12,200,"grassland",390,0.16550621,9.519426,16.75,33.5,115
7.5,125.11666837,24.490999419,2529.3567077,0.049486316628,0.13471304,"Sedimentary","AR",10,140,"sparse",429,0.17537245,8.930792,17.2,7.6,116
10,328.14000658,58.876665303,1888.0966993,0.17369526178,0.2295749,"Unconsolidated","AR",16,30,"sparse",16,0.1870842,10.33587,15.99,-16.31,117
167,547.55667621,59.359331887,1625.0966894,0.33730885516,0.27758235,"Sedimentary","LP",8,110,"cropland",2026,0.24154882,19.197529,13.68,39.2,118
235,1040.6566839,170.75699589,1170.6100162,0.88949324347,0.5873217,"Sedimentary","FR",15,30,"cropland",1454,0.28490856,31.514791,-2.52,30.11,119
3,205.17666946,43.160332482,1680.2433604,0.12231685894,0.21914984,"Sedimentary","AR",16,140,"grassland",1208,0.1842374,11.537509,-24,19,120
20,425.90000499,67.818331859,1518.6933501,0.28080171255,0.32726583,"Sedimentary","AR",16,140,"grassland",1494,0.19931163,13.048116,-20.31,17.4,121
28,356.05000492,64.833998428,1505.4600268,0.23703726056,0.32680953,"Basement","CM",16,140,"grassland",1486,0.19321816,12.789656,-21.5,17.8,122
55,376.96000525,67.531998176,1454.5800216,0.25950231679,0.33935368,"Sedimentary","AR",16,140,"grassland",1281,0.19757237,13.789494,-20,18,123
15,549.68334096,57.225332089,1491.2466847,0.36887957541,0.4469353,"Sedimentary","AR",16,130,"forest",1145,0.20495418,13.661489,-17,16.55,124
33,554.53334187,59.516332004,1488.5400194,0.37285507424,0.42624134,"Sedimentary","AR",16,140,"shrubland",1166,0.20521487,14.045931,-17.47,17.16,125
9,489.33667577,64.737665225,1380.7533556,0.35498718467,0.21508968,"Unconsolidated","FL",15,150,"sparse",88,0.2363255,21.84816,35.55,9.96,126
491,1344.5800243,139.17133057,1298.693353,1.0388571535,0.59388196,"Sedimentary","RG",15,30,"forest",26,0.33035806,25.831575,6.39,2.26,127
148,1344.5800243,139.17133057,1298.693353,1.0388571535,0.59388196,"Sedimentary","RG",15,30,"urban",26,0.33035806,25.831575,6.45,2.35,128
51,1111.4133497,105.12399738,1433.7466881,0.77658606787,0.50222284,"Basement","LP",8,130,"cropland",440,0.29281113,21.718115,10.28,1.38,129
100,655.2800133,85.363664963,1356.0700246,0.48664926718,0.40372387,"Sedimentary","LP",16,30,"shrubland",1376,0.3238713,22.159473,-26,27.7,130
80,816.7200128,80.897664794,1266.2333554,0.64876715354,0.4790565,"Basement","CM",8,130,"shrubland",1382,0.22793703,19.953318,-17.71,30.55,131
8,510.14000915,68.636998318,1922.5367042,0.26540293083,0.3274903,"Unconsolidated","GL",15,14,"cropland",28,0.19424514,11.22682,14.72,-17,132
160,1215.0733556,99.186664525,1149.0266827,1.0580982071,0.44707796,"Sedimentary","LP",8,20,"cropland",2482,0.279276,29.11632,9.4,38.64,133
41,555.3133412,100.98999765,1395.1000212,0.39890825974,0.5614352,"Basement","AC",8,60,"grassland",1408,0.23186427,18.032843,-5.96,33.74,134
